source,game_id,is_goal,home_team,away_team,home_team_skaters,away_team_skaters,player_name,position,player_team,goalie_name,goalie_team,game_time,x_ft,y_ft,dist_ft,angle_deg,shot_type,period
PWPHA,1,0,Harvey's,Adidas,5,5,Hayley Scamurra,F,Harvey's,Ann-Renée Desbiens,Adidas,30.266666,75.14228057861328,15.844118118286133,21.0,48.8,snapshot,1
PWPHA,1,0,Harvey's,Adidas,5,5,Sarah Potomak,F,Adidas,Maddie Rooney,Harvey's,57.9,81.27243041992188,-0.2529411315917969,7.7,1.9,snapshot,1
PWPHA,1,0,Harvey's,Adidas,5,5,Kendall Coyne Schofield,F,Adidas,Maddie Rooney,Harvey's,134.86667,85.29595947265625,-36.46470642089844,36.7,84.2,snapshot,1
PWPHA,1,0,Harvey's,Adidas,5,5,Laura Fortino,D,Harvey's,Ann-Renée Desbiens,Adidas,298.13333,67.59815979003906,0.2529411315917969,21.4,0.7,wristshot,1
PWPHA,1,0,Harvey's,Adidas,5,5,Lee Stecklein,D,Harvey's,Ann-Renée Desbiens,Adidas,301.5,43.45872497558594,-32.444129943847656,55.9,35.5,wristshot,1
PWPHA,1,0,Harvey's,Adidas,5,5,Jamie Lee Rattray,F,Harvey's,Ann-Renée Desbiens,Adidas,405.43332,73.63519287109375,-18.86471939086914,24.3,50.8,wristshot,1
PWPHA,1,0,Harvey's,Adidas,5,5,Jessie Eldridge,F,Harvey's,Ann-Renée Desbiens,Adidas,466.03333,74.13813781738281,-16.350013732910156,22.1,47.7,backhand,1
PWPHA,1,0,Harvey's,Adidas,5,5,Laura Stacey,F,Adidas,Maddie Rooney,Harvey's,491.36667,86.80303955078125,2.267662048339844,3.2,45.9,wraparound,1
PWPHA,1,0,Harvey's,Adidas,5,5,Jincy Dunne,D,Adidas,Maddie Rooney,Harvey's,520.6,49.58538818359375,-22.879398345947266,45.6,30.1,wristshot,1
PWPHA,1,0,Harvey's,Adidas,5,5,Megan Eady,D,Adidas,Maddie Rooney,Harvey's,531.43335,53.608917236328125,1.7647209167480469,35.4,2.9,wristshot,1
PWPHA,1,0,Harvey's,Adidas,5,5,Rhianna Kurio,F,Harvey's,Ann-Renée Desbiens,Adidas,606.13336,57.017189025878906,-13.32904052734375,34.6,22.6,deflected,1
PWPHA,1,1,Harvey's,Adidas,5,5,Jamie Lee Rattray,F,Harvey's,Ann-Renée Desbiens,Adidas,611.1667,84.17726135253906,1.0054435729980469,4.9,11.8,backhand,1
PWPHA,1,0,Harvey's,Adidas,5,5,Sarah Nurse,F,Adidas,Maddie Rooney,Harvey's,628.4,78.78317260742188,-17.85474395751953,20.6,60.2,wristshot,1
PWPHA,1,0,Harvey's,Adidas,5,5,Kendall Coyne Schofield,F,Adidas,Maddie Rooney,Harvey's,641.0,88.33949279785156,-28.919958114624023,28.9,88.7,snapshot,1
PWPHA,1,0,Harvey's,Adidas,5,5,Sarah Potomak,F,Adidas,Maddie Rooney,Harvey's,684.7,79.2861328125,17.85572052001953,20.3,61.5,backhand,1
PWPHA,1,0,Harvey's,Adidas,5,5,Kayla Vespa,F,Adidas,Maddie Rooney,Harvey's,788.3,71.74166870117188,-8.549907684326172,19.3,26.4,snapshot,1
PWPHA,1,0,Harvey's,Adidas,5,5,Kendall Coyne Schofield,F,Adidas,Maddie Rooney,Harvey's,794.23334,73.25056457519531,-32.18922805786133,35.8,63.9,snapshot,1
PWPHA,1,0,Harvey's,Adidas,5,5,Kristin ONeill,F,Adidas,Maddie Rooney,Harvey's,876.0,86.32763671875,-7.041011810302734,7.5,69.2,snapshot,1
PWPHA,1,0,Harvey's,Adidas,5,5,Karell Emard,F,Harvey's,Ann-Renée Desbiens,Adidas,930.1,34.90558624267578,32.44117736816406,63.1,31.0,wristshot,1
PWPHA,1,0,Harvey's,Adidas,5,5,Sarah Nurse,F,Adidas,Maddie Rooney,Harvey's,979.76666,86.80618286132812,10.878822326660156,11.1,78.6,wraparound,1
PWPHA,1,0,Harvey's,Adidas,5,5,Lee Stecklein,D,Harvey's,Ann-Renée Desbiens,Adidas,1004.63336,86.70852661132812,5.7852935791015625,6.2,68.4,snapshot,1
PWPHA,1,0,Harvey's,Adidas,5,5,Hayley Scamurra,F,Harvey's,Ann-Renée Desbiens,Adidas,1013.73334,82.68499755859375,-19.36176300048828,20.4,71.9,wristshot,1
